Sexo;Edad;Provincias;Periodo;Total
Hombres;0  ;Total Nacional;1 de enero de 2020;185084
Hombres;1  ;Total Nacional;1 de enero de 2020;194438
Hombres;2  ;Total Nacional;1 de enero de 2020;208679
Hombres;3  ;Total Nacional;1 de enero de 2020;220142
Hombres;4  ;Total Nacional;1 de enero de 2020;226539
Hombres;5  ;Total Nacional;1 de enero de 2020;230874
Hombres;6  ;Total Nacional;1 de enero de 2020;228100
Hombres;7  ;Total Nacional;1 de enero de 2020;240643
Hombres;8  ;Total Nacional;1 de enero de 2020;249747
Hombres;9  ;Total Nacional;1 de enero de 2020;252052
Hombres;10  ;Total Nacional;1 de enero de 2020;258226
Hombres;11  ;Total Nacional;1 de enero de 2020;271404
Hombres;12  ;Total Nacional;1 de enero de 2020;262296
Hombres;13  ;Total Nacional;1 de enero de 2020;261059
Hombres;14  ;Total Nacional;1 de enero de 2020;255420
Hombres;15  ;Total Nacional;1 de enero de 2020;254214
Hombres;16  ;Total Nacional;1 de enero de 2020;249951
Hombres;17  ;Total Nacional;1 de enero de 2020;243469
Hombres;18  ;Total Nacional;1 de enero de 2020;244697
Hombres;19  ;Total Nacional;1 de enero de 2020;248448
Hombres;20  ;Total Nacional;1 de enero de 2020;243154
Hombres;21  ;Total Nacional;1 de enero de 2020;239384
Hombres;22  ;Total Nacional;1 de enero de 2020;240558
Hombres;23  ;Total Nacional;1 de enero de 2020;239270
Hombres;24  ;Total Nacional;1 de enero de 2020;241477
Hombres;25  ;Total Nacional;1 de enero de 2020;245181
Hombres;26  ;Total Nacional;1 de enero de 2020;254302
Hombres;27  ;Total Nacional;1 de enero de 2020;262185
Hombres;28  ;Total Nacional;1 de enero de 2020;261518
Hombres;29  ;Total Nacional;1 de enero de 2020;264226
Hombres;30  ;Total Nacional;1 de enero de 2020;268079
Hombres;31  ;Total Nacional;1 de enero de 2020;272155
Hombres;32  ;Total Nacional;1 de enero de 2020;274972
Hombres;33  ;Total Nacional;1 de enero de 2020;280512
Hombres;34  ;Total Nacional;1 de enero de 2020;290815
Hombres;35  ;Total Nacional;1 de enero de 2020;301835
Hombres;36  ;Total Nacional;1 de enero de 2020;311846
Hombres;37  ;Total Nacional;1 de enero de 2020;330675
Hombres;38  ;Total Nacional;1 de enero de 2020;347037
Hombres;39  ;Total Nacional;1 de enero de 2020;364599
Hombres;40  ;Total Nacional;1 de enero de 2020;376548
Hombres;41  ;Total Nacional;1 de enero de 2020;395519
Hombres;42  ;Total Nacional;1 de enero de 2020;403038
Hombres;43  ;Total Nacional;1 de enero de 2020;409705
Hombres;44  ;Total Nacional;1 de enero de 2020;407887
Hombres;45  ;Total Nacional;1 de enero de 2020;404027
Hombres;46  ;Total Nacional;1 de enero de 2020;395014
Hombres;47  ;Total Nacional;1 de enero de 2020;392585
Hombres;48  ;Total Nacional;1 de enero de 2020;385507
Hombres;49  ;Total Nacional;1 de enero de 2020;379144
Hombres;50  ;Total Nacional;1 de enero de 2020;374188
Hombres;51  ;Total Nacional;1 de enero de 2020;369553
Hombres;52  ;Total Nacional;1 de enero de 2020;370157
Hombres;53  ;Total Nacional;1 de enero de 2020;360296
Hombres;54  ;Total Nacional;1 de enero de 2020;354959
Hombres;55  ;Total Nacional;1 de enero de 2020;357949
Hombres;56  ;Total Nacional;1 de enero de 2020;339987
Hombres;57  ;Total Nacional;1 de enero de 2020;326158
Hombres;58  ;Total Nacional;1 de enero de 2020;317120
Hombres;59  ;Total Nacional;1 de enero de 2020;317032
Hombres;60  ;Total Nacional;1 de enero de 2020;306570
Hombres;61  ;Total Nacional;1 de enero de 2020;297500
Hombres;62  ;Total Nacional;1 de enero de 2020;288294
Hombres;63  ;Total Nacional;1 de enero de 2020;267067
Hombres;64  ;Total Nacional;1 de enero de 2020;257276
Hombres;65  ;Total Nacional;1 de enero de 2020;242875
Hombres;66  ;Total Nacional;1 de enero de 2020;241978
Hombres;67  ;Total Nacional;1 de enero de 2020;239877
Hombres;68  ;Total Nacional;1 de enero de 2020;221420
Hombres;69  ;Total Nacional;1 de enero de 2020;214029
Hombres;70  ;Total Nacional;1 de enero de 2020;218053
Hombres;71  ;Total Nacional;1 de enero de 2020;225144
Hombres;72  ;Total Nacional;1 de enero de 2020;202578
Hombres;73  ;Total Nacional;1 de enero de 2020;189134
Hombres;74  ;Total Nacional;1 de enero de 2020;193657
Hombres;75  ;Total Nacional;1 de enero de 2020;180447
Hombres;76  ;Total Nacional;1 de enero de 2020;173122
Hombres;77  ;Total Nacional;1 de enero de 2020;145929
Hombres;78  ;Total Nacional;1 de enero de 2020;129973
Hombres;79  ;Total Nacional;1 de enero de 2020;152550
Hombres;80  ;Total Nacional;1 de enero de 2020;95612
Hombres;81  ;Total Nacional;1 de enero de 2020;103426
Hombres;82  ;Total Nacional;1 de enero de 2020;109562
Hombres;83  ;Total Nacional;1 de enero de 2020;111200
Hombres;84  ;Total Nacional;1 de enero de 2020;101134
Hombres;85  ;Total Nacional;1 de enero de 2020;91884
Hombres;86  ;Total Nacional;1 de enero de 2020;84746
Hombres;87  ;Total Nacional;1 de enero de 2020;74949
Hombres;88  ;Total Nacional;1 de enero de 2020;62555
Hombres;89  ;Total Nacional;1 de enero de 2020;52897
Hombres;90  ;Total Nacional;1 de enero de 2020;42232
Hombres;91  ;Total Nacional;1 de enero de 2020;34158
Hombres;92  ;Total Nacional;1 de enero de 2020;25430
Hombres;93  ;Total Nacional;1 de enero de 2020;19949
Hombres;94  ;Total Nacional;1 de enero de 2020;14639
Hombres;95  ;Total Nacional;1 de enero de 2020;10737
Hombres;96  ;Total Nacional;1 de enero de 2020;7798
Hombres;97  ;Total Nacional;1 de enero de 2020;5242
Hombres;98  ;Total Nacional;1 de enero de 2020;3440
Hombres;99  ;Total Nacional;1 de enero de 2020;2251
Hombres;100   ;Total Nacional;1 de enero de 2020;2366
Mujeres;0  ;Total Nacional;1 de enero de 2020;174857
Mujeres;1 ;Total Nacional;1 de enero de 2020;183952
Mujeres;2  ;Total Nacional;1 de enero de 2020;196436
Mujeres;3  ;Total Nacional;1 de enero de 2020;208253
Mujeres;4  ;Total Nacional;1 de enero de 2020;213505
Mujeres;5  ;Total Nacional;1 de enero de 2020;216441
Mujeres;6  ;Total Nacional;1 de enero de 2020;214744
Mujeres;7  ;Total Nacional;1 de enero de 2020;226156
Mujeres;8  ;Total Nacional;1 de enero de 2020;234498
Mujeres;9  ;Total Nacional;1 de enero de 2020;236955
Mujeres;10  ;Total Nacional;1 de enero de 2020;241128
Mujeres;11  ;Total Nacional;1 de enero de 2020;254172
Mujeres;12  ;Total Nacional;1 de enero de 2020;245737
Mujeres;13  ;Total Nacional;1 de enero de 2020;244621
Mujeres;14  ;Total Nacional;1 de enero de 2020;240997
Mujeres;15  ;Total Nacional;1 de enero de 2020;238449
Mujeres;16  ;Total Nacional;1 de enero de 2020;235730
Mujeres;17  ;Total Nacional;1 de enero de 2020;226790
Mujeres;18  ;Total Nacional;1 de enero de 2020;228390
Mujeres;19  ;Total Nacional;1 de enero de 2020;229856
Mujeres;20  ;Total Nacional;1 de enero de 2020;229463
Mujeres;21  ;Total Nacional;1 de enero de 2020;224199
Mujeres;22  ;Total Nacional;1 de enero de 2020;230532
Mujeres;23  ;Total Nacional;1 de enero de 2020;231692
Mujeres;24  ;Total Nacional;1 de enero de 2020;232456
Mujeres;25  ;Total Nacional;1 de enero de 2020;237475
Mujeres;26  ;Total Nacional;1 de enero de 2020;247603
Mujeres;27  ;Total Nacional;1 de enero de 2020;256263
Mujeres;28  ;Total Nacional;1 de enero de 2020;255303
Mujeres;29  ;Total Nacional;1 de enero de 2020;260922
Mujeres;30  ;Total Nacional;1 de enero de 2020;265871
Mujeres;31  ;Total Nacional;1 de enero de 2020;271533
Mujeres;32  ;Total Nacional;1 de enero de 2020;276129
Mujeres;33  ;Total Nacional;1 de enero de 2020;284335
Mujeres;34  ;Total Nacional;1 de enero de 2020;293855
Mujeres;35  ;Total Nacional;1 de enero de 2020;305806
Mujeres;36  ;Total Nacional;1 de enero de 2020;315972
Mujeres;37  ;Total Nacional;1 de enero de 2020;334014
Mujeres;38  ;Total Nacional;1 de enero de 2020;348125
Mujeres;39  ;Total Nacional;1 de enero de 2020;365157
Mujeres;40  ;Total Nacional;1 de enero de 2020;375574
Mujeres;41  ;Total Nacional;1 de enero de 2020;391123
Mujeres;42  ;Total Nacional;1 de enero de 2020;394560
Mujeres;43  ;Total Nacional;1 de enero de 2020;402584
Mujeres;44  ;Total Nacional;1 de enero de 2020;398450
Mujeres;45  ;Total Nacional;1 de enero de 2020;396556
Mujeres;46  ;Total Nacional;1 de enero de 2020;386307
Mujeres;47  ;Total Nacional;1 de enero de 2020;384846
Mujeres;48  ;Total Nacional;1 de enero de 2020;379830
Mujeres;49  ;Total Nacional;1 de enero de 2020;374814
Mujeres;50  ;Total Nacional;1 de enero de 2020;371930
Mujeres;51  ;Total Nacional;1 de enero de 2020;369251
Mujeres;52  ;Total Nacional;1 de enero de 2020;372305
Mujeres;53  ;Total Nacional;1 de enero de 2020;362850
Mujeres;54  ;Total Nacional;1 de enero de 2020;361434
Mujeres;55  ;Total Nacional;1 de enero de 2020;365672
Mujeres;56  ;Total Nacional;1 de enero de 2020;347897
Mujeres;57  ;Total Nacional;1 de enero de 2020;337038
Mujeres;58  ;Total Nacional;1 de enero de 2020;329121
Mujeres;59  ;Total Nacional;1 de enero de 2020;330305
Mujeres;60  ;Total Nacional;1 de enero de 2020;320823
Mujeres;61  ;Total Nacional;1 de enero de 2020;313231
Mujeres;62  ;Total Nacional;1 de enero de 2020;305721
Mujeres;63  ;Total Nacional;1 de enero de 2020;285549
Mujeres;64  ;Total Nacional;1 de enero de 2020;276815
Mujeres;65  ;Total Nacional;1 de enero de 2020;264452
Mujeres;66  ;Total Nacional;1 de enero de 2020;263287
Mujeres;67  ;Total Nacional;1 de enero de 2020;260744
Mujeres;68  ;Total Nacional;1 de enero de 2020;244377
Mujeres;69  ;Total Nacional;1 de enero de 2020;238721
Mujeres;70  ;Total Nacional;1 de enero de 2020;248078
Mujeres;71  ;Total Nacional;1 de enero de 2020;257751
Mujeres;72  ;Total Nacional;1 de enero de 2020;234425
Mujeres;73  ;Total Nacional;1 de enero de 2020;223568
Mujeres;74  ;Total Nacional;1 de enero de 2020;231937
Mujeres;75  ;Total Nacional;1 de enero de 2020;218477
Mujeres;76  ;Total Nacional;1 de enero de 2020;212820
Mujeres;77  ;Total Nacional;1 de enero de 2020;181485
Mujeres;78  ;Total Nacional;1 de enero de 2020;165040
Mujeres;79  ;Total Nacional;1 de enero de 2020;200337
Mujeres;80  ;Total Nacional;1 de enero de 2020;132212
Mujeres;81  ;Total Nacional;1 de enero de 2020;145714
Mujeres;82  ;Total Nacional;1 de enero de 2020;158906
Mujeres;83  ;Total Nacional;1 de enero de 2020;169743
Mujeres;84  ;Total Nacional;1 de enero de 2020;156169
Mujeres;85  ;Total Nacional;1 de enero de 2020;147378
Mujeres;86  ;Total Nacional;1 de enero de 2020;141774
Mujeres;87  ;Total Nacional;1 de enero de 2020;130112
Mujeres;88  ;Total Nacional;1 de enero de 2020;112329
Mujeres;89  ;Total Nacional;1 de enero de 2020;103097
Mujeres;90  ;Total Nacional;1 de enero de 2020;85442
Mujeres;91  ;Total Nacional;1 de enero de 2020;73126
Mujeres;92  ;Total Nacional;1 de enero de 2020;57876
Mujeres;93  ;Total Nacional;1 de enero de 2020;48325
Mujeres;94  ;Total Nacional;1 de enero de 2020;37587
Mujeres;95  ;Total Nacional;1 de enero de 2020;29242
Mujeres;96  ;Total Nacional;1 de enero de 2020;21607
Mujeres;97  ;Total Nacional;1 de enero de 2020;16016
Mujeres;98  ;Total Nacional;1 de enero de 2020;10649
Mujeres;99  ;Total Nacional;1 de enero de 2020;7373
Mujeres;100 ;Total Nacional;1 de enero de 2020;10169

